"Time","Note"
"0:03:29","the floor fade is where an image fades to black subtly at the bottom."
"0:02:49","image blur is also very powerful. you can blur the whole image or an out of focus area."
"0:02:15","putting the text in a box is an easy to make the text stand out, make the box opaque so you can see the image below."
"0:02:09","be careful with the colors you use for image overlays"
"0:01:50","http://css-tricks.com/design-considerations-text-images/"
"0:01:50","use gradients to help your mast images pop"
"0:01:50","use black overlays on images to help white text pop"
