"Time","Note"
"0:03:29","http://entypo.com/"
"0:03:29","http://ionicons.com/"
"0:02:48","use icon fonts for web design because they use vectors, which scale endlessly for any resolution."
"0:02:36","icon images vs vectors"
"0:02:10","icons should play a supporting role, not center stage."
"0:01:43","icons should be recognizable, icons should be labeled."
"0:01:27","use icons for actions/links.  youtube and facebook do this quite a bit."
"0:00:42","use icons to show features of your website, steps to achieve a goal, or products you are selling."
